esp1id,RSSI1,esp2id,RSSI2,inOrNot,Passangercount
1111,-29,2222,-46,yes,1
1111,-29,2222,-48,yes,1
1111,-28,2222,-48,yes,1
1111,-29,2222,-47,yes,1
1111,-28,2222,-47,yes,1
1111,-44,2222,-45,yes,1
2222,-28,1111,-53,yes,1
2222,-27,1111,-54,yes,1
2222,-27,1111,-54,yes,1
2222,-27,1111,-55,yes,1
2222,-27,1111,-52,yes,1
2222,-27,1111,-55,yes,1
2222,-28,1111,-55,yes,1
2222,-27,1111,-55,yes,1
2222,-27,1111,-55,yes,1
2222,-27,1111,-56,yes,1
2222,-27,1111,-58,yes,1
2222,-27,1111,-58,yes,1
2222,-27,1111,-56,yes,1
2222,-49,1111,-60,no,1
2222,-47,1111,-57,no,1
2222,-48,1111,-59,no,1
2222,-49,1111,-57,no,1
2222,-49,1111,-58,no,1
2222,-49,1111,-59,no,1
2222,-47,1111,-56,no,1
2222,-48,1111,-59,no,1
2222,-49,1111,-58,no,1
2222,-48,1111,-58,no,1
2222,-50,3333,-64,no,1
2222,-51,3333,-62,no,1
2222,-50,3333,-63,no,1
2222,-50,1111,-63,no,1
2222,-50,1111,-61,no,1
2222,-50,1111,-62,no,1
2222,-54,3333,-64,no,1
2222,-55,3333,-65,no,1
2222,-55,3333,-64,no,1
2222,-55,3333,-64,no,1
2222,-55,3333,-64,no,1
2222,-54,3333,-64,no,1
2222,-55,3333,-64,no,1
2222,-55,3333,-64,no,1
2222,-50,1111,-59,no,1
2222,-54,3333,-63,no,1
2222,-54,3333,-63,no,1
2222,-56,3333,-64,no,1
4444,-63,1111,-73,no,1
2222,-49,4444,-64,no,1
2222,-49,4444,-63,no,1
2222,-49,4444,-63,no,1
2222,-48,4444,-62,no,1
2222,-48,4444,-64,no,1
2222,-49,4444,-62,no,1
2222,-49,4444,-62,no,1
2222,-49,4444,-63,no,1
2222,-49,4444,-62,no,1
2222,-48,4444,-62,no,1
2222,-47,4444,-61,no,1
2222,-48,4444,-64,no,1
2222,-48,4444,-62,no,1
2222,-48,4444,-64,no,1
2222,-52,4444,-62,no,1
2222,-50,4444,-54,no,1
2222,-49,4444,-60,no,1
2222,-50,4444,-63,no,1
2222,-50,4444,-59,no,1
2222,-50,4444,-58,no,1
2222,-51,4444,-56,no,1
2222,-50,4444,-59,no,1
2222,-50,4444,-61,no,1
2222,-50,4444,-60,no,1
2222,-49,4444,-61,no,1
2222,-51,4444,-57,no,1
2222,-50,4444,-58,no,1
2222,-50,4444,-58,no,1
2222,-49,4444,-59,no,1
2222,-50,4444,-57,no,1
2222,-49,4444,-61,no,1
2222,-47,4444,-62,no,1
2222,-48,4444,-65,no,1
2222,-49,4444,-65,no,1
2222,-48,4444,-63,no,1
2222,-50,4444,-56,no,1
2222,-49,4444,-60,no,1
2222,-50,4444,-59,no,1
2222,-50,4444,-63,no,1
2222,-50,4444,-61,no,1
4444,-59,3333,-71,yes,1
4444,-39,3333,-41,yes,1
4444,-39,3333,-40,yes,1
4444,-39,3333,-40,yes,1
4444,-39,3333,-39,yes,1
4444,-39,3333,-40,yes,1
4444,-40,3333,-50,yes,1
4444,-40,3333,-48,yes,1
4444,-40,3333,-49,yes,1
4444,-40,3333,-50,yes,1
4444,-41,3333,-49,yes,1
4444,-41,3333,-46,yes,1
4444,-40,3333,-45,yes,1
4444,-40,3333,-46,yes,1
4444,-41,3333,-46,yes,1
4444,-41,3333,-45,yes,1
4444,-40,3333,-44,yes,1
4444,-41,3333,-43,yes,1
4444,-40,3333,-43,yes,1
4444,-41,3333,-44,yes,1
4444,-40,3333,-44,yes,1
4444,-41,3333,-47,yes,1
4444,-41,3333,-46,yes,1
4444,-40,3333,-46,yes,1
4444,-41,3333,-47,yes,1
4444,-41,3333,-46,yes,1
4444,-59,3333,-71,yes,1
4444,-39,3333,-41,yes,1
4444,-39,3333,-40,yes,1
4444,-39,3333,-40,yes,1
4444,-39,3333,-39,yes,1
4444,-39,3333,-40,yes,1
4444,-40,3333,-50,yes,1
4444,-40,3333,-48,yes,1
4444,-40,3333,-49,yes,1
4444,-40,3333,-50,yes,1
4444,-41,3333,-49,yes,1
4444,-41,3333,-46,yes,1
4444,-40,3333,-45,yes,1
4444,-40,3333,-46,yes,1
4444,-41,3333,-46,yes,1
4444,-41,3333,-45,yes,1
4444,-40,3333,-44,yes,1
4444,-41,3333,-43,yes,1
4444,-40,3333,-43,yes,1
4444,-41,3333,-44,yes,1
4444,-40,3333,-44,yes,1
4444,-41,3333,-47,yes,1
4444,-41,3333,-46,yes,1
4444,-40,3333,-46,yes,1
4444,-41,3333,-47,yes,1
4444,-41,3333,-46,yes,1
4444,-40,3333,-46,yes,1
4444,-40,3333,-46,yes,1
